#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
### PRONOMI
String_IT_GetLuiLei_male;;;;;;lui;;;;;;;;x
String_IT_GetLuiLei_female;;;;;;lei;;;;;;;;x
String_IT_GetLuiLeiCap_male;;;;;;Lui;;;;;;;;x
String_IT_GetLuiLeiCap_female;;;;;;Lei;;;;;;;;x
String_IT_GetLuiLeiOpp_male;;;;;;lei;;;;;;;;x
String_IT_GetLuiLeiOpp_female;;;;;;lui;;;;;;;;x
String_IT_GetLuiLeiCapOpp_male;;;;;;Lei;;;;;;;;x
String_IT_GetLuiLeiCapOpp_female;;;;;;Lui;;;;;;;;x
String_IT_GetEgliElla_male;;;;;;egli;;;;;;;;x
String_IT_GetEgliElla_female;;;;;;ella;;;;;;;;x
String_IT_GetEgliEllaCap_male;;;;;;Egli;;;;;;;;x
String_IT_GetEgliEllaCap_female;;;;;;Ella;;;;;;;;x
String_IT_GetEgliEllaOpp_male;;;;;;ella;;;;;;;;x
String_IT_GetEgliEllaOpp_female;;;;;;egli;;;;;;;;x
String_IT_GetEgliEllaCapOpp_male;;;;;;Ella;;;;;;;;x
String_IT_GetEgliEllaCapOpp_female;;;;;;Egli;;;;;;;;x
String_IT_GetEssoEssa_male;;;;;;esso;;;;;;;;x
String_IT_GetEssoEssa_female;;;;;;essa;;;;;;;;x
String_IT_GetEssoEssaCap_male;;;;;;Esso;;;;;;;;x
String_IT_GetEssoEssaCap_female;;;;;;Essa;;;;;;;;x
String_IT_GetEssoEssaOpp_male;;;;;;essa;;;;;;;;x
String_IT_GetEssoEssaOpp_female;;;;;;esso;;;;;;;;x
String_IT_GetEssoEssaCapOpp_male;;;;;;Essa;;;;;;;;x
String_IT_GetEssoEssaCapOpp_female;;;;;;Esso;;;;;;;;x
String_IT_GetEssoEssa_male;;;;;;essi;;;;;;;;x
String_IT_GetEssoEssa_female;;;;;;esse;;;;;;;;x
String_IT_GetEssoEssaCap_male;;;;;;Essi;;;;;;;;x
String_IT_GetEssoEssaCap_female;;;;;;Esse;;;;;;;;x
String_IT_GetEssoEssaOpp_male;;;;;;esse;;;;;;;;x
String_IT_GetEssoEssaOpp_female;;;;;;essi;;;;;;;;x
String_IT_GetEssoEssaCapOpp_male;;;;;;Esse;;;;;;;;x
String_IT_GetEssoEssaCapOpp_female;;;;;;Essi;;;;;;;;x
### PRONOMI POSSESSIVI
String_IT_GetSuoSua_male;;;;;;suo;;;;;;;;x
String_IT_GetSuoSua_female;;;;;;sua;;;;;;;;x
String_IT_GetSuoSuaOpp_male;;;;;;sua;;;;;;;;x
String_IT_GetSuoSuaOpp_female;;;;;;suo;;;;;;;;x
String_IT_GetSuoSuaCap_male;;;;;;Suo;;;;;;;;x
String_IT_GetSuoSuaCap_female;;;;;;Sua;;;;;;;;x
String_IT_GetSuoSuaCapOpp_male;;;;;;Sua;;;;;;;;x
String_IT_GetSuoSuaCapOpp_female;;;;;;Suo;;;;;;;;x
String_IT_GetSuoiSue_male;;;;;;suoi;;;;;;;;x
