#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
PROV1013;Lori;;Lori;;;Lori;;;;;;;;x
PROV1112;Madurai;;Madurai;;;Madurai;;;;;;;;x
PROV1113;Chagai;;Chagai;;;Chagai;;;;;;;;x
PROV1114;Mahoyadapuram;;Mahoyadapuram;;;Mahoyadapuram;;;;;;;;x
PROV1115;Cholamandalam;;Cholamandalam;;;Cholamandalam;;;;;;;;x
PROV1116;Tenkasi;;Tenkasi;;;Tenkasi;;;;;;;;x
PROV1117;Qalqut;;Qalqut;;;Qalqut;;;;;;;;x
PROV1118;Manyapura;;Manyapura;;;Manyapura;;;;;;;;x
PROV1119;Kanchipuram;;Kanchipuram;;;Kanchipuram;;;;;;;;x
PROV1120;Tagadur;;Tagadur;;;Tagadur;;;;;;;;x
PROV1121;Uchangidurga;;Uchangidurga;;;Uchangidurga;;;;;;;;x
PROV1122;Udayagiri;;Udayagiri;;;Udayagiri;;;;;;;;x
PROV1123;Vengipura;;Vengipura;;;Vengipura;;;;;;;;x
PROV1124;Honnore;;Honnore;;;Honnore;;;;;;;;x
PROV1125;Thana;;Thana;;;Thana;;;;;;;;x
PROV1126;Daman;;Daman;;;Daman;;;;;;;;x
PROV1127;Navasarika;;Navasarika;;;Navasarika;;;;;;;;x
PROV1128;Vizagipatam;;Vizagipatam;;;Vizagipatam;;;;;;;;x
PROV1129;Kataka;;Kataka;;;Kataka;;;;;;;;x
PROV1130;Mandavyapura;;Mandavyapura;;;Mandavyapura;;;;;;;;x
PROV1131;Karmanta;;Karmanta;;;Karmanta;;;;;;;;x
PROV1133;Vadodara;;Vadodara;;;Vadodara;;;;;;;;x
PROV1134;Bhumilka;;Bhumilka;;;Bhumilka;;;;;;;;x
PROV1135;Valabhi;;Valabhi;;;Valabhi;;;;;;;;x
PROV1136;Dvaraka;;Dvaraka;;;Dvaraka;;;;;;;;x
PROV1137;Mansura;;Mansura;;;Mansura;;;;;;;;x
PROV1138;Bhakkar;;Bhakkar;;;Bhakkar;;;;;;;;x
PROV1139;Makran;;Makran;;;Makran;;;;;;;;x
PROV1140;Banavasi;;Banavasi;;;Banavasi;;;;;;;;x
PROV1141;Kol;;Kol;;;Kol;;;;;;;;x
PROV1142;Pratishthana;;Pratishthana;;;Pratishthana;;;;;;;;x
PROV1143;Kalyani;;Kalyani;;;Kalyani;;;;;;;;x
PROV1144;Kollipake;;Kollipake;;;Kollipake;;;;;;;;x
PROV1145;Devagiri;;Devagiri;;;Devagiri;;;;;;;;x
PROV1146;Naldurg;;Naldurg;;;Naldurg;;;;;;;;x
PROV1147;Mandapika;;Mandapika;;;Mandapika;;;;;;;;x
PROV1148;Dasapura;;Dasapura;;;Dasapura;;;;;;;;x
PROV1149;Dhara;;Dhara;;;Dhara;;;;;;;;x
PROV1150;Sarangpur;;Sarangpur;;;Sarangpur;;;;;;;;x
PROV1151;Laksmanavati;;Laksmanavati;;;Laksmanavati;;;;;;;;x
PROV1152;Mudgagiri;;Mudgagiri;;;Mudgagiri;;;;;;;;x
PROV1153;Kotivarsa;;Kotivarsa;;;Kotivarsa;;;;;;;;x
PROV1154;Magadha;;Magadha;;;Magadha;;;;;;;;x
PROV1155;Sripuri;;Sripuri;;;Sripuri;;;;;;;;x
PROV1156;Kodalaka Mandala;;Kodalaka Mandala;;;Kodalaka Mandala;;;;;;;;x
PROV1157;Balkonda;;Balkonda;;;Balkonda;;;;;;;;x
PROV1158;Bidar;;Bidar;;;Bidar;;;;;;;;x
PROV1159;Ramagiri;;Ramagiri;;;Ramagiri;;;;;;;;x
PROV1160;Rayapura;;Rayapura;;;Rayapura;;;;;;;;x
PROV1161;Kasmira;;Kasmira;;;Kasmira;;;;;;;;x
PROV1162;Kusinagara;;Kusinagara;;;Kusinagara;;;;;;;;x
PROV1163;Varanasi;;Varanasi;;;Varanasi;;;;;;;;x
PROV1164;Chauragarh;;Chauragarh;;;Chauragarh;;;;;;;;x
PROV1165;Bandhugadha;;Bandhugadha;;;Bandhugadha;;;;;;;;x
PROV1166;Jaunpur;;Jaunpur;;;Jaunpur;;;;;;;;x
PROV1167;Lakhnau;;Lakhnau;;;Lakhnau;;;;;;;;x
PROV1168;Katehar;;Katehar;;;Katehar;;;;;;;;x
PROV1169;Kalpi;;Kalpi;;;Kalpi;;;;;;;;x
PROV1170;Vidisa;;Vidisa;;;Vidisa;;;;;;;;x
PROV1171;Kalanjara;;Kalanjara;;;Kalanjara;;;;;;;;x
PROV1172;Gwalior;;Gwalior;;;Gwalior;;;;;;;;x
PROV1173;Sambhal;;Sambhal;;;Sambhal;;;;;;;;x
PROV1174;Godwad;;Godwad;;;Godwad;;;;;;;;x
PROV1175;Aror;;Aror;;;Aror;;;;;;;;x
PROV1176;Medantaka;;Medantaka;;;Medantaka;;;;;;;;x
PROV1177;Kundina;;Kundina;;;Kundina;;;;;;;;x
PROV1178;Karur;;Karur;;;Karur;;;;;;;;x
PROV1179;Sakala;;Sakala;;;Sakala;;;;;;;;x
PROV1180;Udabhanda;;Udabhanda;;;Udabhanda;;;;;;;;x
PROV1181;Oshrusana;;Oshrusana;;;Oshrusana;;;;;;;;x
PROV1182;Ghazna;;Ghazna;;;Ghazna;;;;;;;;x
PROV1183;Bost;;Bost;;;Bost;;;;;;;;x
PROV1184;Kalat;;Kalat;;;Kalat;;;;;;;;x
PROV1185;Kabul;Kaboul;Kabul;;;Kabul;;;;;;;;x
PROV1186;Chach;;Chach;;;Chach;;;;;;;;x
PROV1187;Kunduz;;Kunduz;;;Kunduz;;;;;;;;x
PROV1188;Khuttal;;Khuttal;;;Khuttal;;;;;;;;x
PROV1189;Bamian;Bâmiyân;Bamian;;;Bamian;;;;;;;;x #Nandana castle and Peshawar city go here
PROV1190;Gurjaratra;Gurjaratra;Gurjaratra;;;Gurjaratra;;;;;;;;x
PROV1191;Bannu;;Bannu;;;Bannu;;;;;;;;x
PROV1192;Bhera;;Bhera;;;Bhera;;;;;;;;x
PROV1193;Trigarta;;Trigarta;;;Trigarta;;;;;;;;x
PROV1194;Nagadipa;;Nagadipa;;;Nagadipa;;;;;;;;x
PROV1195;Pihiti;;Pihiti;;;Pihiti;;;;;;;;x
PROV1196;Srirangapatna;;Srirangapatna;;;Srirangapatna;;;;;;;;x
PROV1197;Dwarasamudra;;Dwarasamudra;;;Dwarasamudra;;;;;;;;x
PROV1198;Vatapi;;Vatapi;;;Vatapi;;;;;;;;x
PROV1199;Penugonda;;Penugonda;;;Penugonda;;;;;;;;x
PROV1200;Kanara;;Kanara;;;Kanara;;;;;;;;x
PROV1201;Kongu;;Kongu;;;Kongu;;;;;;;;x
PROV1202;Kudalasangama;;Kudalasangama;;;Kudalasangama;;;;;;;;x
PROV1203;Idatarainadu;;Idatarainadu;;;Idatarainadu;;;;;;;;x
PROV1204;Nellore;;Nellore;;;Nellore;;;;;;;;x
PROV1205;Narim;;Narim;;;Narim;;;;;;;;x
PROV1206;Taradavadi;;Taradavadi;;;Taradavadi;;;;;;;;x
PROV1207;Amaravati;;Amaravati;;;Amaravati;;;;;;;;x
PROV1208;Kambampet;;Kambampet;;;Kambampet;;;;;;;;x
PROV1209;Racakonda;;Racakonda;;;Racakonda;;;;;;;;x
PROV1210;Manyakheta;;Manyakheta;;;Manyakheta;;;;;;;;x
PROV1211;Pannagallu;;Pannagallu;;;Pannagallu;;;;;;;;x
PROV1212;Lattalura;;Lattalura;;;Lattalura;;;;;;;;x
PROV1213;Kondana;;Kondana;;;Kondana;;;;;;;;x
PROV1214;Tirunelveli;;Tirunelveli;;;Tirunelveli;;;;;;;;x
PROV1215;Dakhina Desa;;Dakhina Desa;;;Dakhina Desa;;;;;;;;x
PROV1216;Talakad;;Talakad;;;Talakad;;;;;;;;x
PROV1217;Nandagiri;;Nandagiri;;;Nandagiri;;;;;;;;x
PROV1218;Alampur;;Alampur;;;Alampur;;;;;;;;x
PROV1219;Potapi;;Potapi;;;Potapi;;;;;;;;x
PROV1220;Goa;;Goa;;;Goa;;;;;;;;x
PROV1221;Vijayawada;;Vijayawada;;;Vijayawada;;;;;;;;x
PROV1222;Rajamahendravaram;;Rajamahendravaram;;;Rajamahendravaram;;;;;;;;x
PROV1223;Ishim;;Ishim;;;Ishim;;;;;;;;x
PROV1224;Kalinganagar;;Kalinganagar;;;Kalinganagar;;;;;;;;x
PROV1225;Puri;;Puri;;;Puri;;;;;;;;x
PROV1226;Nandapur;;Nandapur;;;Nandapur;;;;;;;;x
PROV1227;Cakrakuta;;Cakrakuta;;;Cakrakuta;;;;;;;;x
PROV1228;Swetaka Mandala;;Swetaka Mandala;;;Swetaka Mandala;;;;;;;;x
PROV1229;Khinjali Mandala;;Khinjali Mandala;;;Khinjali Mandala;;;;;;;;x
PROV1230;Suvarnapura;;Suvarnapura;;;Suvarnapura;;;;;;;;x
PROV1231;Viraja;;Viraja;;;Viraja;;;;;;;;x
PROV1232;Midnapore;;Midnapore;;;Midnapore;;;;;;;;x
PROV1233;Saptagrama;;Saptagrama;;;Saptagrama;;;;;;;;x
PROV1234;Damin-i-koh;;Damin-i-koh;;;Damin-i-koh;;;;;;;;x
PROV1235;Tamralipti;;Tamralipti;;;Tamralipti;;;;;;;;x
PROV1236;Candradvipa;;Candradvipa;;;Candradvipa;;;;;;;;x
PROV1237;Rajrappa;;Rajrappa;;;Rajrappa;;;;;;;;x
