#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
WIKIPEDIA_LINK;§YWikipedia Link§W;§YLien Wikipédia§W;§YWikipedia Link§W;;§YEnlace a Wikipedia§W;§YCollegamento a Wikipedia§W;;;;;;;;x
WIKIPEDIA_LINK_DESC;Opens a browser to the Wikipedia page for this character;Ouvre un navigateur vers la page Wikipédia du personnage;Öffnet den Browser und zeigt die Wikipediaseite für diesen Charakter an;;Abre un enlace en el explorador a la página de Wikipedia de este personaje;Apre un collegamento nel browser verso la pagina di Wikipedia di questo personaggio;;;;;;;;x
WIKIPEDIA_LINK_MISSING;§YThis character has no Wikipedia link§W;§YCe personnage n'a pas de page wikipédia§!;§YDieser Charakter besitzt keinen Wikipedia-Link§!;;§YEste personaje no tiene enlace en Wikipedia§W;§YQuesto personaggio non ha un Collegamento a Wikipedia§W;;;;;;;;x
WIKIPEDIA_LINK_DISABLED;Wikipedia Links are disabled;Les liens wikipédia sont désactivés;Wikipedia-Links sind deaktiviert;;Los enlaces a la Wikipedia están desactivados;I Collegamenti a Wikipedia sono disabilitati;;;;;;;;x
AIREASON_TARGET_HAS_REPENTED_SINS;§Y[GetBestName]§! has recently repented [GetPossPronoun] sins;§Y[GetBestName]§! s'est récemment repenti de ses péchés;§Y[GetBestName]§! hat jüngst für [GetPossPronoun]e Sünden Buße getan;;§Y[GetBestName]§! se ha arrepentido recientemente de sus [GetPossPronoun] pecados;§Y[GetBestName]§! ha recentemente espiato i [GetPossPronoun] peccati;;;;;;;;x
OL_DISABLED_ALERTS;Disabled Alerts;Alertes déactivées;Alarme sind deaktiviert;;Desactivar Avisos;Avvisi disabilitati;;;;;;;;x
alert_deficits_name;Deficits;Déficits;Defizite;;Déficits;Disavanzi;;;;;;;;x
alert_country_at_war_name;Country at war;Pays en guerre;Land befindet sich im Krieg;;País en Guerra;Paese in guerra;;;;;;;;x
alert_casus_belli_will_expire_name;Temporary Casus belli;Casus belli temporaire;Temporärer Casus Belli;;Casus Belli temporal;Casus Belli temporaneo;;;;;;;;x
alert_allies_not_called_in_name;We can call in allies;Nous pouvons solliciter de l'aide à nos alliés;Es können Verbündete um Beistand gebeten werden;;Podemos llamar a nuestros aliados;Possiamo chiamare alla guerra i nostri alleati;;;;;;;;x
alert_build_province_improvement_name;Can build county improvements;Peut contruire des améliorations comtales;Es können Provinzverbesserungen gebaut werden;;Podemos construir mejoras en nuestras provincias;Possiamo costruire dei miglioramenti nella contea;;;;;;;;x
alert_troops_in_foreign_territory_name;Troops in foreign territory;Troupes en territoire étranger;Truppen im fremden Gebiet;;Tropas en tierras extranjeras;Truppe in territorio straniero;;;;;;;;x
alert_revoltrisk_in_provinces_name;Revolts possible;Révoltes possibles;Es sind Revolten möglich;;Posibles revueltas;Possibili rivolte;;;;;;;;x
alert_available_decision_name;Important Decisions;Décisions importantes;Wichtige Entscheidungen;;Decisiones Importantes;Decisioni importanti;;;;;;;;x
alert_noheir_name;No heir;Pas d'héritier;Kein Erbe;;No tienes Heredero;Non ha un erede;;;;;;;;x
alert_court_not_filled_name;Open council positions;Postes vacants au Conseil;Ratspositionen nicht besetzt;;Puestos disponibles en el Consejo;Posizioni vacanti nel consiglio;;;;;;;;x
alert_lose_title_on_succ_name;Title loss on succession;Perte de titre lors de la succession;Titel geht bei Nachfolge verloren;;Título perdido en la Sucesión;Perdita del Titolo alla successione;;;;;;;;x
alert_should_nominate_heir_name;Succession nomination;Nomination d'un successeur;Nachfolgenominierung;;Nominar Sucesor;Nomina del Successore;;;;;;;;x
alert_you_can_create_titles_name;Can create titles;Des titres peuvent être créés;Es können Titel geschaffen werden;;Puedes crear títulos;Puoi creare dei Titoli;;;;;;;;x
alert_you_can_usurp_titles_name;Can usurp titles;Des titres peuvent être usurpés;Es können Titel usurpiert werden;;Puedes usurpar títulos;Puoi usurpare dei Titoli;;;;;;;;x
alert_ruler_should_marry_name;Ruler unmarried;Souverain célibataire;Herrscher ist nicht vermählt;;Gobernante soltero;Sovrano non sposato;;;;;;;;x
alert_heir_should_marry_name;Heir unmarried;Héritier célibataire;Erbe ist nicht vermählt;;Heredero soltero;Erede non sposato;;;;;;;;x
alert_should_appoint_guardian_name;Children lack guardian;Enfants sans tuteur;Kein Vormund für Kinder;;Infante sin tutor;Bambino senza Tutore;;;;;;;;x
alert_demesne_too_big_name;Demesne too big;Domaine trop vaste;Domäne zu groß;;Heredad demasiado grande;Dominio Troppo Vasto;;;;;;;;x
alert_adult_sons_notitle_name;Unlanded sons;Fils sans terres;Söhne besitzen kein Land;;Hijos sin tierras;Figli senza terre;;;;;;;;x
alert_betrothed_should_marry_name;Betrothed can marry;Les fiancés peuvent se marier;Verlobte können heiraten;;Prometido se puede casar;I Promessi Sposi possono sposarsi;;;;;;;;x
alert_can_imprison_name;Righteous imprisonment;Emprisonnement justifié;Rechtmäßige Inhaftierung;;Arresto legítimo;Arresto legittimo;;;;;;;;x
alert_titles_may_pass_from_realm_name;Vassal inheritance warning;Avertissement sur la succession de certains vassaux;Titel fällt möglicherweise an eine Person außerhalb des Reiches;;Aviso de herencia de vasallos;Avviso di Successione di un Vassallo;;;;;;;;x
alert_can_call_vassals_to_arms_name;Can call vassals of former liege;Nous pouvons faire appel à des vassaux de notre ancien seigneur lige;Vasallen unseres früheren Lehnsherrn können um Beistand ersucht werden;;Puedes llamar a los vasallos de tu antiguo señor;Puoi chiamare i Vassalli del precedente signore;;;;;;;;x
alert_available_plot_name;New plots available;De nouveaux complots sont disponibles;Neue Verschwörung möglich;;Nuevos complots disponibles;Nuovi complotti disponibili;;;;;;;;x
alert_vassal_levies_raised_long_name;Vassal levies raised too long;Les troupes des vassaux sont levées depuis trop longtemps;Wir beanspruchen die Streitkräfte unserer Vasallen zu lang;;Levas de los vasallos reclutadas durante mucho tiempo;Leve dei Vassalli reclutate da troppo tempo;;;;;;;;x
alert_owns_wrong_settlement_type_name;Wrong type of holding in demesne;Mauvais type de possession dans le domaine;Falscher Besitztumstyp in Domäne;;Tipo de población erróneo en la heredad;Tipo di possedimento sbagliato nel dominio;;;;;;;;x
alert_no_ambition_name;Pick an ambition;Choisissez une ambition;Wähle eine Ambition;;Escoge una ambición;Scegli un'ambizione;;;;;;;;x
alert_dejure_claim_name;Can press de jure claim;Peut revendiquer des titres de jure;Es können De-jure-Ansprüche durchgesetzt werden;;Puedes ejercer una reclamación de ducado de iure;E possibile far valere una rivendicazione De Jure;;;;;;;;x
alert_truce_expiring_name;Truces are expiring;Des trêves s'achèvent;Waffenstillstand läuft aus;;Finalizando treguas;Tregue in scadenza;;;;;;;;x
OPINION_OF_ME;Opinion of Me;Son opinion sur moi;Meinung über mich;;Opinión sobre mi;Opinione su di Me;;;;;;;;x
MY_OPINION_OF_CHAR;My Opinion of $CHAR$;Mon opinion sur $CHAR$;Meine Meinung von $CHAR$;;Mi opinión sobre $CHAR$;La mia Opinione di $CHAR$;;;;;;;;x
ALERT_DISABLED;Disabled;Désactivé;Deaktiviert;;Desactivada;Disabilitato;;;;;;;;x
ALERT_DISABLED_TOOLTIP;Disabled\n§YClick to reenable§!;Désactivé\n§YCliquez pour réactiver§!;Deaktiviert\n§YWählen zum Reaktivieren§!;;Desactivada\n§YPincha para activar§!;Disabilitato\n§YClicca per riattivare§!;;;;;;;;x
ALERT_DISMISSED;Dismissed;Écarté;Abgelehnt;;Descartada;Ignorato;;;;;;;;x
ALERT_DISMISSED_TOOLTIP;Dismissed\n§YClick to reenable§!;Écarté\n§YCliquez pour réactiver§!;Abgelehnt\n§YWählen zum Reaktivieren§!;;Descartada\n§YPincha para activar§!;Ignorato\n§YClicca per riattivare§!;;;;;;;;x
