#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
EVTNAME62951;Ragnarr's Curse;Malédiction de Ragnarr;Ragnarrs Fluch;;La maldición de Ragnarr;La maledizione di Ragnarr;;;;;;;;x
EVTDESC62951;The cowardly king Ælla is kneeling before me in the mud, refusing to meet my eyes. The men call out for various punishments - some more creative than others. I call for silence and a hush descends as the raven banner flutters eagerly above the doomed man. It is time to exact revenge for my dead father, Ragnarr...;Ælla, le roi lâche, s'agenouille dans la boue devant moi en baissant le regard. Les hommes demandent différents châtiments – certains étant plus créatifs que d'autres. J'appelle au silence. Le calme tombe tandis que la bannière du corbeau bat au gré d'un vent violent au-dessus de l'homme maudit. L'heure est venue de venger mon défunt père, Ragnarr...;Der feige König Ælla kniet vor mir im Staub und wagt es nicht, mir in die Augen zu sehen. Die Männer fordern die verschiedensten Strafen, manche davon sehr originell. Ich gebiete Ruhe und die Männer verstummen, während das Rabenbanner über dem Todgeweihten munter flattert. Nun schlägt die Stunde der Rache. Vergeltung für meinen toten Vater Ragnarr ...;;El rey cobarde Ælla está de rodillas ante de mí en el barro, negándose a mirarme a los ojos. Los hombres claman varios castigos, algunos más creativos que otros. Pido silencio y este cae igual que el estandarte del cuervo ondea con entusiasmo encima del hombre condenado. Es el momento de vengar a mi difunto padre, Ragnarr.;Il codardo Re Ælla si è inginocchiato davanti a me nel fango, rifiutandosi di incontrare i miei occhi. Gli uomini chiedono diverse punizioni - alcune più creative di altre. Chiedo il silenzio e la quiete scende, come lo stendardo del corvo sventola impaziente sopra l'uomo condannato. È il momento di vendicare la morte di mio padre, Ragnarr...;;;;;;;;x
EVTOPTA62951;Carve the Blood Eagle!;Mutilez l'Aigle de sang !;Bestraft ihn mit einem Blutadler!;;!Esculpe el águila de sangre!;Taglia l'Aquila di Sangue!;;;;;;;;x
EVTOPTB62951;Sacrifice him to Odin!;Sacrifiez-le à Odin !;Bringt ihn Odin zum Opfer dar!;;!Sacrifícale a Odín!;Sacrificalo ad Odino!;;;;;;;;x
EVTOPTC62951;Four balls for the Ravens!;Quatre balles pour les Corbeaux !;Reißt ihm die Augen und Hoden heraus!;;!Cuatro pelotas para los Cuervos!;Quattro palle per i Corvi!;;;;;;;;x
EVTOPTD62951;I have other plans for Ælla...;J'ai d'autres plans pour Ælla...;Ich habe andere Pläne mit Ælla ...;;Tengo otros planes para Ælla...;Ho altri piani per Ælla...;;;;;;;;x
EVTDESC62952;The last thing I saw before the heathen savages carved out my eyes was the horrible grin on [From.GetFirstName]'s face. I tried to curl up as they prepared to unman me...;La dernière chose que j'ai vue avant que ces sauvages hérétiques ne m'arrachent les yeux, ce fut un infâme sourire sur le visage de [From.GetFirstName]. J'ai tenté de me recroqueviller alors qu'ils se préparaient à m'émasculer...;Das Letzte, was ich sah, bevor mir diese heidnischen Wilden die Augen aus dem Kopf schnitten, war das schreckliche Grinsen von [From.GetFirstName]. Ich versuchte mich zusammenzukrümmen, als sie sich anschickten, mich zu entmannen ...;;La œltima cosa que vi antes de los salvajes paganos me sacaran los ojos fue la sonrisa horrible en la cara de [From.GetFirstName]. Traté de acurrucarme mientras se preparaban a quitarme la virilidad...;L'ultima cosa che ho visto prima che i selvaggi pagani scavassero i miei occhi, fu il ghigno orribile sul volto di [From.GetFirstName]. Ho cercato di raggomitolarmi mentre si preparavano a sventrarmi...;;;;;;;;x
EVTOPTA62952;ARRRRGH!;ARRRRGH !;ARRRRGH!;;Raaabiaaa!;ARRRRGH!;;;;;;;;x
AIREASON_IN_OTHER_WAR;In Other War;Dans une autre guerre;In einem anderen Krieg;;En otra guerra;In un'Altra Guerra;;;;;;;;x
AIREASON_BUSY_RAIDING;Raiding;En train de piller;Auf Raubzug;;Asaltando;Razziando;;;;;;;;x
