#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
ACQUISITION_CLAIM;Conquered as a Claimant;Conquis en tant que revendicateur;Erobert als Anspruchsteller;;Conquistado como un pretendiente;Conquistato come un Pretendente;;;;;;;;x
ACQUISITION_HOST;Conquered as an Adventurer;Conquis en tant qu'aventurier;Erobert als Abenteurer;;Conquistado como un aventurero;Conquistato come un Avventuriero;;;;;;;;x
ACQUISITION_REVOLT;Conquered as Leader of an Uprising;Conquis en tant que chef d'une révolte;Erobert als Anführer eines Aufstands;;Conquistado como líder de un levantamiento;Conquistato come Capo di una Rivolta;;;;;;;;x
ACQUISITION_USURP;Peacefully Usurped;Usurpé en paix;Friedliche Übernahme;;Usurpado pacíficamente;Usurpato Pacificamente;;;;;;;;x
ACQUISITION_FACTION_DEMAND;Installed by Faction Demand;Installé sous demande d'une faction;Installiert durch eine Fraktionsforderung;;Instalado por petición de la facción;Installato su Richiesta della Fazione;;;;;;;;x
PERSONAL_OPINION_LOWER_THAN;Personal Opinion lower than ;Opinion personnelle inférieure à ;Pers. Meinung geringer als ;;Opinión personal más baja que;Opinione Personale inferiore a ;;;;;;;;x
PERSONAL_OPINION_AT_LEAST;Personal Opinion of at least ;Opinion personnelle d'au moins ;Pers. Meinung mindestens ;;Opinión personal de por lo menos;Opinione Personale pari o superiore a ;;;;;;;;x
PERS_OPINION_DIFF_LOWER_THAN;Personal Opinion difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;La différence d'opinion personnelle entre §Y$FIRST$§! et §Y$SECOND$§! est inférieure à §Y$VAL$§!;Pers. Meinungsunterschiede zwischen §Y$FIRST$§! und §Y$SECOND$§! geringer als §Y$VAL$§!;;¡Diferencia de opinión personal entre §Y$FIRST$§! y §Y$SECOND$§! más baja que §Y$VAL$§!;Differenza di Opinione personale tra §Y$FIRST$§! e §Y$SECOND$§! inferiore a §Y$VAL$§!;;;;;;;;x
PERS_OPINION_DIFF_AT_LEAST;Personal Opinion difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!;La différence d'opinion personnelle entre §Y$FIRST$§! et §Y$SECOND$§! est d'au moins §Y$VAL$§!;Pers. Meinungsunterschiede zwischen §Y$FIRST$§! und §Y$SECOND$§! mindestens §Y$VAL$§!;;¡Diferencia de la opinión personal entre §Y$FIRST$§! y §Y$SECOND$§! de por lo menos §Y$VAL$§!;Differenza di Opinione personale tra §Y$FIRST$§! e §Y$SECOND$§! pari o superiore a §Y$VAL$§!;;;;;;;;x
RULER_OF_TITLE;$RULER$ of $TITLE$;$RULER$ de $TITLE$;$RULER$ von $TITLE$;;$RULER$ de $TITLE$;$RULER$ di $TITLE$;;;;;;;;x
EVTDESC38305;I have grown more trusting, accepting whatever fate has in store for me. I have lost the Paranoid trait.;Je suis désormais plus confiant et j'accepte le sort que le destin me réserve. Je ne suis plus paranoïaque.;"Ich bin nun weniger argwöhnisch und nehme hin, was das Schicksal bringt. Ich habe die Eigenschaft ""§YParanoid§!"" verloren.";;Me he vuelto más confiado, aceptando lo que el destino me traiga. He perdido el rasgo Paranoico;Sono cresciuto più fiducioso, accettando ciò che il destino ha in serbo per me. Ho perso il Tratto Paranoico.;;;;;;;;x
EVTDESC38306;I have become aware of people's duplicity. I have lost the Trusting trait.;J'ai pris conscience de la duplicité de certains. J'ai perdu ma confiance.;"Mir ist die Doppelzüngigkeit der Menschen bewusst geworden. Ich habe die Eigenschaft ""§YTreuherzig§!"" verloren.";;Me he dado cuenta de la duplicidad de la gente. He perdido el rasgo Confiado.;Mi sono reso conto della falsità della gente. Ho perso il Tratto Fiducioso.;;;;;;;;x
EVTDESC38307;I have suffered enough pain and betrayal. Why help those who hurt me back? I have lost the Kind trait.;J'ai suffisamment souffert des suites de diverses trahisons. Pourquoi devrais-je aider ceux qui me font du mal ? Ma gentillesse est du passé.;"Ich habe genug Pein und Verrat erfahren. Warum soll ich meinen Neidern helfen? Ich habe die Eigenschaft ""§YGütig§!"" verloren.";;He sufrido bastante dolor y traición. ¿Por qué ayudar a aquellos que me haga daño? He perdido el rasgo Amable;Ho sofferto abbastanza dolore e tradimento. Perché aiutare coloro che mi hanno fatto del male? Ho perso il Tratto Gentile.;;;;;;;;x
